BRANCH1,SUBJECT,YEAR,UNIT,QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,ANSWER,BRANCH
IT,CNS,4,1,Which cryptographic technique uses the Feistel structure?,Stream ciphers,Block ciphers,Substitution ciphers,Transposition ciphers,Block ciphers,IT-4
IT,CNS,4,2,What is the primary purpose of the Extended Euclidean Algorithm in cryptography?,To encrypt data,To compute the greatest common divisor (GCD) and modular inverses,To generate prime numbers,To solve polynomial equations,To compute the greatest common divisor (GCD) and modular inverses,IT-4
IT,CNS,4,2,Which property makes the RSA algorithm secure?,The use of one-time keys,The difficulty of factorizing large integers,The use of stream ciphers,The reversible nature of encryption,The difficulty of factorizing large integers,IT-4
IT,CNS,4,2,What is the main function of the Advanced Encryption Standard (AES)?,To provide public key encryption,To encrypt and decrypt data using symmetric keys,To digitally sign documents,To perform hashing,To encrypt and decrypt data using symmetric keys,IT-4
IT,CNS,4,3,What is a Message Authentication Code (MAC) used for?,To encrypt a message,To verify the integrity and authenticity of a message,To compress data,To generate public keys,To verify the integrity and authenticity of a message,IT-4
IT,CNS,4,3,What is the purpose of the Secure Hash Algorithm (SHA)?,To encrypt data,To produce a fixed-length hash value for data integrity,To establish secure sessions,To sign digital certificates,To produce a fixed-length hash value for data integrity,IT-4
IT,CNS,4,3,Which cryptographic technique is used in the Digital Signature Standard (DSS)?,RSA,Elgamal,AES,DES,Elgamal,IT-4
IT,CNS,4,4,What is the role of the Diffie-Hellman algorithm?,To encrypt data using symmetric keys,To exchange cryptographic keys securely,To generate digital signatures,To verify message authenticity,To exchange cryptographic keys securely,IT-4
IT,CNS,4,4,What does the X.509 standard specify?,Protocols for secure communication,Formats for public key certificates,Methods for hashing data,Encryption algorithms,Formats for public key certificates,IT-4
IT,CNS,4,4,Which protocol ensures email security by providing encryption and signing capabilities?,Kerberos,PGP,SSL,AES,PGP,IT-4
IT,CNS,4,5,What is the primary purpose of IP Security (IPSec)?,To manage public key infrastructures,To secure communication over IP networks,To encrypt email messages,To provide digital certificates,To secure communication over IP networks,IT-4
IT,CNS,4,5,What is the role of the Secure Socket Layer (SSL) protocol?,To establish secure connections over the internet,To generate cryptographic keys,To provide authentication for emails,To implement hash functions,To establish secure connections over the internet,IT-4
IT,CNS,4,5,What is a common function of firewalls in system security?,To encrypt network traffic,To block unauthorized access to or from a network,To digitally sign messages,To compress data,To block unauthorized access to or from a network,IT-4
CSE,DISTRIBUTED SYSTEM,4,1,What is one of the main challenges in distributed systems?,Achieving synchronization without a global clock,Developing single-threaded programs,Managing centralized resources,Avoiding communication delays,Achieving synchronization without a global clock,CSE-4
CSE,DISTRIBUTED SYSTEM,4,1,What does Lamport's logical clock help achieve in distributed systems?,Physical time synchronization,Consistent ordering of events,Fault tolerance,Reduction in message overhead,Consistent ordering of events,CSE-4
CSE,DISTRIBUTED SYSTEM,4,1,What is a primary characteristic of a distributed system?,Shared memory,Resource sharing and absence of global state,No inter-process communication,Exclusive local storage,Resource sharing and absence of global state,CSE-4
CSE,DISTRIBUTED SYSTEM,4,2,Which of the following best describes inter-process communication (IPC)?,Mechanism to allow processes to communicate and synchronize,A protocol for network communication,An algorithm for process scheduling,A hardware-specific feature,Mechanism to allow processes to communicate and synchronize,CSE-4
CSE,DISTRIBUTED SYSTEM,4,2,Which is a common communication model used in distributed systems?,Client-server model,Token ring network,Polling system,Interrupt-driven I/O,Client-server model,CSE-4
CSE,DISTRIBUTED SYSTEM,4,2,Which protocol ensures reliable communication in a distributed system?,UDP,TCP,IP,HTTP,TCP,CSE-4
CSE,DISTRIBUTED SYSTEM,4,3,What is a common approach to synchronize clocks in a distributed system?,Token passing,Cristian's algorithm,Using physical clocks only,None of the above,Cristian's algorithm,CSE-4
CSE,DISTRIBUTED SYSTEM,4,3,What is sequential consistency in distributed systems?,All nodes agree on the same global time,"Operations appear to execute in a single, sequential order",Each node has a different view of data,Operations are unordered,"Operations appear to execute in a single, sequential order",CSE-4
CSE,DISTRIBUTED SYSTEM,4,3,Which synchronization mechanism avoids deadlock?,Distributed lock manager,Timestamp ordering,Eventual consistency,Two-phase locking,Timestamp ordering,CSE-4
CSE,DISTRIBUTED SYSTEM,4,4,What is the primary purpose of replication in distributed systems?,To improve performance and fault tolerance,To reduce memory usage,To synchronize clocks,To centralize control,To improve performance and fault tolerance,CSE-4
CSE,DISTRIBUTED SYSTEM,4,4,Which algorithm is commonly used for consensus in a distributed system?,Paxos,Lamport's algorithm,Berkeley's algorithm,TCP,Paxos,CSE-4
CSE,DISTRIBUTED SYSTEM,4,4,What does fail-stop behavior refer to in fault tolerance?,The system halts in case of failure,Processes stop running and recover automatically,Failures are ignored,The system continues operation without errors,The system halts in case of failure,CSE-4
CSE,DISTRIBUTED SYSTEM,4,5,What is a common threat to security in distributed systems?,Message interception,High availability,Data replication,Synchronization,Message interception,CSE-4
CSE,DISTRIBUTED SYSTEM,4,5,Which technique ensures secure communication between distributed nodes?,Public key encryption,Polling,Round-robin scheduling,None of the above,Public key encryption,CSE-4
CSE,DISTRIBUTED SYSTEM,4,5,What does distributed denial-of-service (DDoS) target?,Data replication,System availability,Fault tolerance,Network topology,System availability,CSE-4
CSE,CLOUD COMPUTING,4,1,Which characteristic of cloud computing ensures resources are provided based on demand?,Virtualization,On-demand provisioning,Scalability,Multitenancy,On-demand provisioning,CSE-4
CSE,CLOUD COMPUTING,4,1,What does the elasticity in cloud computing refer to?,The ability to support multiple users simultaneously,The capability to scale resources up or down dynamically,Efficient storage mechanisms,Cost reduction techniques,The capability to scale resources up or down dynamically,CSE-4
CSE,CLOUD COMPUTING,4,1,Which computing paradigm underlies cloud computing?,Centralized computing,Parallel and distributed computing,Batch processing,Edge computing,Parallel and distributed computing,CSE-4
CSE,CLOUD COMPUTING,4,2,What is the role of virtualization in cloud computing?,To increase the number of physical servers,To allow multiple virtual machines to run on a single physical machine,To eliminate the need for operating systems,To reduce storage requirements,To allow multiple virtual machines to run on a single physical machine,CSE-4
CSE,CLOUD COMPUTING,4,2,Which type of virtualization involves creating multiple virtual machines on a single physical server?,Storage virtualization,Server virtualization,Network virtualization,Application virtualization,Server virtualization,CSE-4
CSE,CLOUD COMPUTING,4,2,What is the publish-subscribe model in Service-Oriented Architecture (SOA)?,A technique for accessing APIs,A messaging pattern where producers send messages to a topic and consumers subscribe to receive them,A mechanism for cloud security,A strategy for load balancing,A messaging pattern where producers send messages to a topic and consumers subscribe to receive them,CSE-4
CSE,CLOUD COMPUTING,4,3,What type of cloud service is offered by Google Drive?,Infrastructure as a Service (IaaS),Platform as a Service (PaaS),Software as a Service (SaaS),Network as a Service (NaaS),Software as a Service (SaaS),CSE-4
CSE,CLOUD COMPUTING,4,3,What is the main advantage of hybrid clouds?,They eliminate the need for private cloud infrastructure,They combine the benefits of both public and private clouds,They provide free resources for enterprises,They only use on-premises hardware,They combine the benefits of both public and private clouds,CSE-4
CSE,CLOUD COMPUTING,4,3,What does the NIST Cloud Computing Reference Architecture describe?,Protocols for virtual machines,A framework for describing cloud services and deployment models,Standards for on-premises computing,Guidelines for developing SaaS,A framework for describing cloud services and deployment models,CSE-4
CSE,CLOUD COMPUTING,4,4,What is the goal of Inter-Cloud Resource Management?,To ensure consistent storage allocation,To allow resource sharing between multiple cloud environments,To monitor security breaches,To improve data encryption,To allow resource sharing between multiple cloud environments,CSE-4
CSE,CLOUD COMPUTING,4,4,What is a primary challenge in cloud security?,Implementing virtualization,Protecting data during transmission and storage,Developing scalable architectures,Achieving fault tolerance,Protecting data during transmission and storage,CSE-4
CSE,CLOUD COMPUTING,4,4,Which standard is used for Identity and Access Management (IAM) in cloud computing?,ISO/IEC 27001,OAuth,DES,XML,OAuth,CSE-4
CSE,CLOUD COMPUTING,4,5,What is the primary purpose of Hadoop in cloud computing?,To encrypt data,To process and store large-scale data sets,To host web applications,To perform network routing,To process and store large-scale data sets,CSE-4
CSE,CLOUD COMPUTING,4,5,Which platform provides tools for developing and deploying cloud applications?,OpenStack,VPN,Load Balancer,Blockchain,OpenStack,CSE-4
CSE,CLOUD COMPUTING,4,5,What does the MapReduce framework accomplish in cloud computing?,Real-time data encryption,Parallel processing of large-scale data sets,Virtual machine management,Secure resource allocation,Parallel processing of large-scale data sets,CSE-4
IT,CLOUD COMPUTING,4,1,Which characteristic of cloud computing ensures resources are provided based on demand?,Virtualization,On-demand provisioning,Scalability,Multitenancy,On-demand provisioning,IT-4
IT,CLOUD COMPUTING,4,1,What does the elasticity in cloud computing refer to?,The ability to support multiple users simultaneously,The capability to scale resources up or down dynamically,Efficient storage mechanisms,Cost reduction techniques,The capability to scale resources up or down dynamically,IT-4
IT,CLOUD COMPUTING,4,1,Which computing paradigm underlies cloud computing?,Centralized computing,Parallel and distributed computing,Batch processing,Edge computing,Parallel and distributed computing,IT-4
IT,CLOUD COMPUTING,4,2,What is the role of virtualization in cloud computing?,To increase the number of physical servers,To allow multiple virtual machines to run on a single physical machine,To eliminate the need for operating systems,To reduce storage requirements,To allow multiple virtual machines to run on a single physical machine,IT-4
IT,CLOUD COMPUTING,4,2,Which type of virtualization involves creating multiple virtual machines on a single physical server?,Storage virtualization,Server virtualization,Network virtualization,Application virtualization,Server virtualization,IT-4
IT,CLOUD COMPUTING,4,2,What is the publish-subscribe model in Service-Oriented Architecture (SOA)?,A technique for accessing APIs,A messaging pattern where producers send messages to a topic and consumers subscribe to receive them,A mechanism for cloud security,A strategy for load balancing,A messaging pattern where producers send messages to a topic and consumers subscribe to receive them,IT-4
IT,CLOUD COMPUTING,4,3,What type of cloud service is offered by Google Drive?,Infrastructure as a Service (IaaS),Platform as a Service (PaaS),Software as a Service (SaaS),Network as a Service (NaaS),Software as a Service (SaaS),IT-4
IT,CLOUD COMPUTING,4,3,What is the main advantage of hybrid clouds?,They eliminate the need for private cloud infrastructure,They combine the benefits of both public and private clouds,They provide free resources for enterprises,They only use on-premises hardware,They combine the benefits of both public and private clouds,IT-4
IT,CLOUD COMPUTING,4,3,What does the NIST Cloud Computing Reference Architecture describe?,Protocols for virtual machines,A framework for describing cloud services and deployment models,Standards for on-premises computing,Guidelines for developing SaaS,A framework for describing cloud services and deployment models,IT-4
IT,CLOUD COMPUTING,4,4,What is the goal of Inter-Cloud Resource Management?,To ensure consistent storage allocation,To allow resource sharing between multiple cloud environments,To monitor security breaches,To improve data encryption,To allow resource sharing between multiple cloud environments,IT-4
IT,CLOUD COMPUTING,4,4,What is a primary challenge in cloud security?,Implementing virtualization,Protecting data during transmission and storage,Developing scalable architectures,Achieving fault tolerance,Protecting data during transmission and storage,IT-4
IT,CLOUD COMPUTING,4,4,Which standard is used for Identity and Access Management (IAM) in cloud computing?,ISO/IEC 27001,OAuth,DES,XML,OAuth,IT-4
IT,CLOUD COMPUTING,4,5,What is the primary purpose of Hadoop in cloud computing?,To encrypt data,To process and store large-scale data sets,To host web applications,To perform network routing,To process and store large-scale data sets,IT-4
IT,CLOUD COMPUTING,4,5,Which platform provides tools for developing and deploying cloud applications?,OpenStack,VPN,Load Balancer,Blockchain,OpenStack,IT-4
IT,CLOUD COMPUTING,4,5,What does the MapReduce framework accomplish in cloud computing?,Real-time data encryption,Parallel processing of large-scale data sets,Virtual machine management,Secure resource allocation,Parallel processing of large-scale data sets,IT-4
CSE,DEEP LEARNING,4,1,What is the primary role of a loss function in neural networks?,To adjust the learning rate,To measure the error between predicted and actual values,To determine the number of layers,To initialize weights,To measure the error between predicted and actual values,CSE-4
CSE,DEEP LEARNING,4,1,What is backpropagation used for in neural networks?,To propagate input data through the network,To compute gradients for updating weights,To calculate the number of neurons,To reduce the number of layers,To compute gradients for updating weights,CSE-4
CSE,DEEP LEARNING,4,1,What is the role of stochastic gradient descent (SGD) in training neural networks?,To compute error rates,To optimize weights by iteratively minimizing the loss function,To initialize neural network layers,To increase the model's complexity,To optimize weights by iteratively minimizing the loss function,CSE-4
CSE,DEEP LEARNING,4,2,What is the purpose of batch normalization in deep networks?,To add regularization to the model,To standardize inputs to a layer for faster training,To decrease the network's depth,To reduce overfitting,To standardize inputs to a layer for faster training,CSE-4
CSE,DEEP LEARNING,4,2,What is the key characteristic of convolutional neural networks (CNNs)?,They work only for time-series data,They specialize in processing grid-like structures such as images,They are less effective for high-dimensional data,They require fewer layers than other networks,They specialize in processing grid-like structures such as images,CSE-4
CSE,DEEP LEARNING,4,2,What differentiates generative adversarial networks (GANs) from other models?,They use reinforcement learning,They consist of two neural networks that compete against each other,They are shallow networks,They perform unsupervised clustering,They consist of two neural networks that compete against each other,CSE-4
CSE,DEEP LEARNING,4,3,What is the goal of Principal Component Analysis (PCA)?,To cluster data into groups,To reduce the dimensionality of data while retaining variance,To train deep neural networks,To extract textual features,To reduce the dimensionality of data while retaining variance,CSE-4
CSE,DEEP LEARNING,4,3,How do autoencoders achieve dimensionality reduction?,By clustering similar data points,By learning compressed representations of input data,By using generative algorithms,By initializing weights with random values,By learning compressed representations of input data,CSE-4
CSE,DEEP LEARNING,4,3,Which architecture is commonly used for transfer learning in deep learning?,AlexNet,VGG,ResNet,K-Nearest Neighbors,ResNet,CSE-4
CSE,DEEP LEARNING,4,4,What makes Recurrent Neural Networks (RNNs) suitable for sequential data?,They have fewer parameters than traditional networks,They use loops to retain information across time steps,They require fewer training samples,They are trained using clustering algorithms,They use loops to retain information across time steps,CSE-4
CSE,DEEP LEARNING,4,4,What problem do Long Short-Term Memory (LSTM) networks address in RNNs?,Overfitting,Vanishing and exploding gradients,Lack of activation functions,Inefficient weight initialization,Vanishing and exploding gradients,CSE-4
CSE,DEEP LEARNING,4,4,Which optimization technique is widely used in deep learning for its adaptive learning rate?,Stochastic Gradient Descent,Adam,RMSProp,Newton’s Method,Adam,CSE-4
CSE,DEEP LEARNING,4,5,What is the primary application of Word2Vec in natural language processing?,To classify text data,To generate word embeddings,To translate languages,To perform text summarization,To generate word embeddings,CSE-4
CSE,DEEP LEARNING,4,5,Which deep learning model is best suited for image classification tasks?,Convolutional Neural Networks (CNNs),Recurrent Neural Networks (RNNs),Autoencoders,Feedforward Neural Networks,Convolutional Neural Networks (CNNs),CSE-4
CSE,DEEP LEARNING,4,5,What is the purpose of using reinforcement learning in deep learning?,To classify structured data,To learn optimal actions through trial and error,To reduce dimensionality,To generate embeddings,To learn optimal actions through trial and error,CSE-4
CSE,RURAL DEVELOPMENT,4,1,What is one of the basic elements of rural development?,Urbanization,Sustainable livelihoods,Technological dependence,Industrialization,Sustainable livelihoods,CSE-4
CSE,RURAL DEVELOPMENT,4,1,Which sector does not directly belong to rural development programs?,Agricultural sector,Social security sector,Manufacturing sector,Social sector,Manufacturing sector,CSE-4
CSE,RURAL DEVELOPMENT,4,1,What is the importance of rural development in India?,To promote urban migration,To ensure sustainable livelihoods and resource optimization,To focus solely on technology,To eliminate agriculture,To ensure sustainable livelihoods and resource optimization,CSE-4
CSE,RURAL DEVELOPMENT,4,2,Who initiated the Sriniketan experiment?,Mahatma Gandhi,Rabindranath Tagore,Jawaharlal Nehru,B.R. Ambedkar,Rabindranath Tagore,CSE-4
CSE,RURAL DEVELOPMENT,4,2,What was the primary aim of the Nilokheri experiment?,Establishing cooperative societies,Developing vocational training and employment,Promoting international trade,Encouraging urbanization,Developing vocational training and employment,CSE-4
CSE,RURAL DEVELOPMENT,4,2,Which approach to rural community development focuses on self-reliance and local governance?,Capitalist approach,Gandhian approach,Socialist approach,Industrialist approach,Gandhian approach,CSE-4
CSE,RURAL DEVELOPMENT,4,3,What is the primary function of Panchayati Raj Institutions?,To oversee urban infrastructure,To facilitate local governance and decision-making,To manage state-level policies,To promote industrial development,To facilitate local governance and decision-making,CSE-4
CSE,RURAL DEVELOPMENT,4,3,Which act formalized Panchayati Raj in India?,Indian Constitution Amendment Act 1991,73rd Constitutional Amendment Act 1992,Gram Swaraj Act 1995,Panchayat Act 2001,73rd Constitutional Amendment Act 1992,CSE-4
CSE,RURAL DEVELOPMENT,4,3,What is the role of self-help groups (SHGs) in rural administration?,To centralize power,To promote grassroots financial independence,To establish bureaucratic governance,To encourage urban migration,To promote grassroots financial independence,CSE-4
CSE,RURAL DEVELOPMENT,4,4,What is a critical element of human resource development in rural areas?,Advanced robotics,Skill development and education,High-tech industrialization,Urban housing schemes,Skill development and education,CSE-4
CSE,RURAL DEVELOPMENT,4,4,Which factor is not a dimension of HRD in rural development?,Nutritional status,Energy access,Population composition,Artificial intelligence,Artificial intelligence,CSE-4
CSE,RURAL DEVELOPMENT,4,4,Why is training important in rural HRD?,To promote rural-urban migration,To enhance employability and productivity,To centralize governance,To discourage entrepreneurship,To enhance employability and productivity,CSE-4
CSE,RURAL DEVELOPMENT,4,5,What was the Gandhian approach to rural industrialization focused on?,Urban expansion,Self-reliant village industries,Import of goods,Mass production,Self-reliant village industries,CSE-4
CSE,RURAL DEVELOPMENT,4,5,What is a major challenge for rural entrepreneurship in India?,Lack of urban migration,Inadequate infrastructure,Overabundance of capital,Decline in agriculture,Inadequate infrastructure,CSE-4
CSE,RURAL DEVELOPMENT,4,5,Why is appropriate technology important for rural industries?,To ensure compatibility with urban industries,To promote efficiency and sustainability,To encourage foreign investments,To establish monopoly,To promote efficiency and sustainability,CSE-4
IT,RURAL DEVELOPMENT,4,1,What is one of the basic elements of rural development?,Urbanization,Sustainable livelihoods,Technological dependence,Industrialization,Sustainable livelihoods,IT-4
IT,RURAL DEVELOPMENT,4,1,Which sector does not directly belong to rural development programs?,Agricultural sector,Social security sector,Manufacturing sector,Social sector,Manufacturing sector,IT-4
IT,RURAL DEVELOPMENT,4,1,What is the importance of rural development in India?,To promote urban migration,To ensure sustainable livelihoods and resource optimization,To focus solely on technology,To eliminate agriculture,To ensure sustainable livelihoods and resource optimization,IT-4
IT,RURAL DEVELOPMENT,4,2,Who initiated the Sriniketan experiment?,Mahatma Gandhi,Rabindranath Tagore,Jawaharlal Nehru,B.R. Ambedkar,Rabindranath Tagore,IT-4
IT,RURAL DEVELOPMENT,4,2,What was the primary aim of the Nilokheri experiment?,Establishing cooperative societies,Developing vocational training and employment,Promoting international trade,Encouraging urbanization,Developing vocational training and employment,IT-4
IT,RURAL DEVELOPMENT,4,2,Which approach to rural community development focuses on self-reliance and local governance?,Capitalist approach,Gandhian approach,Socialist approach,Industrialist approach,Gandhian approach,IT-4
IT,RURAL DEVELOPMENT,4,3,What is the primary function of Panchayati Raj Institutions?,To oversee urban infrastructure,To facilitate local governance and decision-making,To manage state-level policies,To promote industrial development,To facilitate local governance and decision-making,IT-4
IT,RURAL DEVELOPMENT,4,3,Which act formalized Panchayati Raj in India?,Indian Constitution Amendment Act 1991,73rd Constitutional Amendment Act 1992,Gram Swaraj Act 1995,Panchayat Act 2001,73rd Constitutional Amendment Act 1992,IT-4
IT,RURAL DEVELOPMENT,4,3,What is the role of self-help groups (SHGs) in rural administration?,To centralize power,To promote grassroots financial independence,To establish bureaucratic governance,To encourage urban migration,To promote grassroots financial independence,IT-4
IT,RURAL DEVELOPMENT,4,4,What is a critical element of human resource development in rural areas?,Advanced robotics,Skill development and education,High-tech industrialization,Urban housing schemes,Skill development and education,IT-4
IT,RURAL DEVELOPMENT,4,4,Which factor is not a dimension of HRD in rural development?,Nutritional status,Energy access,Population composition,Artificial intelligence,Artificial intelligence,IT-4
IT,RURAL DEVELOPMENT,4,4,Why is training important in rural HRD?,To promote rural-urban migration,To enhance employability and productivity,To centralize governance,To discourage entrepreneurship,To enhance employability and productivity,IT-4
IT,RURAL DEVELOPMENT,4,5,What was the Gandhian approach to rural industrialization focused on?,Urban expansion,Self-reliant village industries,Import of goods,Mass production,Self-reliant village industries,IT-4
IT,RURAL DEVELOPMENT,4,5,What is a major challenge for rural entrepreneurship in India?,Lack of urban migration,Inadequate infrastructure,Overabundance of capital,Decline in agriculture,Inadequate infrastructure,IT-4
IT,RURAL DEVELOPMENT,4,5,Why is appropriate technology important for rural industries?,To ensure compatibility with urban industries,To promote efficiency and sustainability,To encourage foreign investments,To establish monopoly,To promote efficiency and sustainability,IT-4
CSE,VISION FOR HUMAN SOCIETY,4,1,What is a humane society primarily focused on?,Material wealth,Harmony and well-being of all individuals,Economic dominance,Technological superiority,Harmony and well-being of all individuals,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,1,What is essential for creating a humane society?,Advanced technology,Mutual understanding and respect,Market-driven economy,Military power,Mutual understanding and respect,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,1,What is the role of education in a humane society?,To create wealth,To cultivate ethical values and understanding,To promote competition,To encourage consumerism,To cultivate ethical values and understanding,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,2,What is a fundamental value for a humane society?,Trust and care,Wealth accumulation,Power and dominance,Technological advancement,Trust and care,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,2,Which ethical principle is vital for sustainable development?,Exploitation of resources,Interdependence and responsibility,Unlimited consumption,Maximizing profits,Interdependence and responsibility,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,2,What is the role of ethics in a humane society?,To dictate laws,To ensure harmony in relationships,To promote individualism,To establish competition,To ensure harmony in relationships,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,3,What does holistic development emphasize?,Economic growth only,"Physical, emotional, and ethical well-being",Technological innovations,Individualism,"Physical, emotional, and ethical well-being",CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,3,What is the goal of holistic education?,To focus solely on academic knowledge,"To develop values, skills, and understanding",To promote market-driven education,To prioritize material wealth,"To develop values, skills, and understanding",CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,3,How does holistic development approach nature?,As a resource to exploit,As an integral part of human existence,As an obstacle to growth,As a separate entity,As an integral part of human existence,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,4,What is the focus of global vision for a humane society?,Economic competition,Global harmony and sustainable living,Political dominance,Technological superiority,Global harmony and sustainable living,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,4,Which principle is crucial for global harmony?,Cooperation and respect,Individualism and isolation,Market-driven globalization,Economic superiority,Cooperation and respect,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,4,What is a major challenge for achieving a humane global society?,Cultural diversity,Conflict and inequality,Technological advancements,Resource abundance,Conflict and inequality,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,5,What is the primary role of institutions in a humane society?,To enforce power,To nurture values and foster well-being,To promote competition,To ensure technological dominance,To nurture values and foster well-being,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,5,What should institutions prioritize in a humane society?,Profit generation,Ethical practices and collective welfare,Market competition,Technological superiority,Ethical practices and collective welfare,CSE-4
CSE,VISION FOR HUMAN SOCIETY,4,5,How can educational institutions contribute to a humane society?,By promoting innovation only,By integrating values and holistic education,By prioritizing academic excellence only,By focusing on individual achievements,By integrating values and holistic education,CSE-4
IT,VISION FOR HUMAN SOCIETY,4,1,What is a humane society primarily focused on?,Material wealth,Harmony and well-being of all individuals,Economic dominance,Technological superiority,Harmony and well-being of all individuals,IT-4
IT,VISION FOR HUMAN SOCIETY,4,1,What is essential for creating a humane society?,Advanced technology,Mutual understanding and respect,Market-driven economy,Military power,Mutual understanding and respect,IT-4
IT,VISION FOR HUMAN SOCIETY,4,1,What is the role of education in a humane society?,To create wealth,To cultivate ethical values and understanding,To promote competition,To encourage consumerism,To cultivate ethical values and understanding,IT-4
IT,VISION FOR HUMAN SOCIETY,4,2,What is a fundamental value for a humane society?,Trust and care,Wealth accumulation,Power and dominance,Technological advancement,Trust and care,IT-4
IT,VISION FOR HUMAN SOCIETY,4,2,Which ethical principle is vital for sustainable development?,Exploitation of resources,Interdependence and responsibility,Unlimited consumption,Maximizing profits,Interdependence and responsibility,IT-4
IT,VISION FOR HUMAN SOCIETY,4,2,What is the role of ethics in a humane society?,To dictate laws,To ensure harmony in relationships,To promote individualism,To establish competition,To ensure harmony in relationships,IT-4
IT,VISION FOR HUMAN SOCIETY,4,3,What does holistic development emphasize?,Economic growth only,"Physical, emotional, and ethical well-being",Technological innovations,Individualism,"Physical, emotional, and ethical well-being",IT-4
IT,VISION FOR HUMAN SOCIETY,4,3,What is the goal of holistic education?,To focus solely on academic knowledge,"To develop values, skills, and understanding",To promote market-driven education,To prioritize material wealth,"To develop values, skills, and understanding",IT-4
IT,VISION FOR HUMAN SOCIETY,4,3,How does holistic development approach nature?,As a resource to exploit,As an integral part of human existence,As an obstacle to growth,As a separate entity,As an integral part of human existence,IT-4
IT,VISION FOR HUMAN SOCIETY,4,4,What is the focus of global vision for a humane society?,Economic competition,Global harmony and sustainable living,Political dominance,Technological superiority,Global harmony and sustainable living,IT-4
IT,VISION FOR HUMAN SOCIETY,4,4,Which principle is crucial for global harmony?,Cooperation and respect,Individualism and isolation,Market-driven globalization,Economic superiority,Cooperation and respect,IT-4
IT,VISION FOR HUMAN SOCIETY,4,4,What is a major challenge for achieving a humane global society?,Cultural diversity,Conflict and inequality,Technological advancements,Resource abundance,Conflict and inequality,IT-4
IT,VISION FOR HUMAN SOCIETY,4,5,What is the primary role of institutions in a humane society?,To enforce power,To nurture values and foster well-being,To promote competition,To ensure technological dominance,To nurture values and foster well-being,IT-4
IT,VISION FOR HUMAN SOCIETY,4,5,What should institutions prioritize in a humane society?,Profit generation,Ethical practices and collective welfare,Market competition,Technological superiority,Ethical practices and collective welfare,IT-4
IT,VISION FOR HUMAN SOCIETY,4,5,How can educational institutions contribute to a humane society?,By promoting innovation only,By integrating values and holistic education,By prioritizing academic excellence only,By focusing on individual achievements,By integrating values and holistic education,IT-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,1,What is the primary objective of project management?,To increase project costs,To achieve project goals within constraints,To avoid risks,To delay project completion,To achieve project goals within constraints,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,1,Which phase of project management focuses on feasibility and planning?,Execution,Initiation,Closure,Monitoring,Initiation,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,1,What is a key characteristic of a successful project?,Unlimited resources,Clear objectives and deliverables,Open-ended timelines,Minimal team communication,Clear objectives and deliverables,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,2,What is a Gantt chart used for in project management?,To manage risks,To visualize project schedules,To calculate costs,To monitor quality,To visualize project schedules,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,2,What does the Critical Path Method (CPM) identify?,The most expensive tasks,The longest sequence of dependent tasks,Tasks with the least impact,Non-critical tasks,The longest sequence of dependent tasks,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,2,What is the main purpose of resource allocation in project planning?,To maximize costs,To optimize resource utilization,To eliminate project timelines,To create new resources,To optimize resource utilization,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,3,What is a key trait of an entrepreneur?,Risk-taking ability,Avoidance of challenges,Preference for routine tasks,Dependency on external motivation,Risk-taking ability,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,3,Which stage of entrepreneurship focuses on scaling the business?,Ideation,Start-up,Growth,Maturity,Growth,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,3,What is the primary purpose of a business model?,To maximize risks,To define value creation and delivery,To delay innovation,To minimize profits,To define value creation and delivery,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,4,What is the first step in risk management?,Risk evaluation,Risk identification,Risk avoidance,Risk allocation,Risk identification,CSE-4
CSE,PROJECT MANAGEMENT AND ENTREPRENEURSHIP,4,4,Which risk response strategy involves reducing the probability of risk occurrence?,Risk transfer,Risk mitigation,Risk acceptance,Risk avoidance,Risk mitigation,CSE-4
